,Location,location,feature_class,latitude,longitude,Closest Ocean Basin,Distance to Nearest Ocean
744,"Ulsan Bay,",exact,T,38.19795,128.46131,9.0,33.75546551813636
745,Khima,exact,P,42.65548,45.85455,3.0,33.78838401613813
746,lower Gulf Thailand,Bulbogan,P,12.89931,121.45722,9.0,44.64308701748592
747,Saudi EEZ Arabian Gulf,Saudi,P,28.06703,83.33765,15.0,50.70081185545201
748,Normandy,exact,L,49.08826,0.3241,3.0,96.78631133260093
749,Gulf Biscay,Gulf Province,A,-7.7246,145.08545,11.0,52.06974232846808
750,Luxembourg,exact,A,49.75,6.16667,3.0,36.732049212125986
751,Larak Island,exact,T,26.85333,56.35556,15.0,41.82758893633136
752,Billfish Fishery,Fishery,T,-34.24236,18.37603,7.0,30.824997978490895
753,Pasar Bengkulu,Pāsār,P,34.2356,47.3818,25.0,31.337726877419218
754,Shuangtaizi River,Shuangtaizi,P,41.59907,123.30441,9.0,19.65378252191585
755,Lake Erie Garbage Patch,Lake County,A,-44.83333,168.5,13.0,37.06460489843053
756,Calafell,exact,P,41.19997,1.5683,22.0,33.845441233392066
757,St. Mary's River,exact,P,45.08045,-61.9312,3.0,57.569043060336625
758,Car Nicobar,exact,T,9.16667,92.78333,16.0,48.3759459829158
759,Armação dos Búzios,exact,A,-22.76948,-41.90965,7.0,51.628072896011446
760,Brunei River,exact,H,4.92214,115.01533,11.0,71.33148456885725
761,Galapagos Marine Reserve,Provincia de Galápagos,A,-0.67015,-90.87341,10.0,101.18332689511209
762,Tien Yen Bay,Tien,A,11.43928,104.85711,9.0,39.49719891698126
763,Russia,exact,A,60.0,100.0,3.0,62.06564062208868
764,"Citarum Harum""requires",Citarum,P,-6.98972,107.56306,11.0,54.89779947421796
765,Yondingxinhe Estuary,Yongding Xinhe,H,39.18194,117.53222,9.0,35.47503174140948
766,Tolo Harbour,exact,H,22.44214,114.21151,9.0,30.333130716259934
767,Chenhang Island,Chenhang,P,31.48151,121.33675,9.0,15.615085660747654
768,Tuamotu Archipelago,exact,T,-18.43764,-141.34665,12.0,17.597284169469418
769,Gdynia,exact,P,54.51889,18.53188,24.0,2.940675529607821
770,Inner Mongolia,exact,A,43.5,114.75,9.0,20.164479914227755
771,Ganga,exact,L,25.40806,68.60062,15.0,14.37264945497705
772,North Pacific,exact,S,46.47215,-112.23695,9.0,20.37609748428467
773,Pecém,exact,P,-3.54806,-38.82972,5.0,36.982015922490866
774,Sudan,exact,A,16.0,30.0,15.0,77.0719607157421
775,east Africa,East,A,28.66242,77.29122,15.0,27.23550487507965
776,Pará,exact,A,-4.0,-53.0,5.0,78.51852969413663
777,Kuroshio Extension,Kuroshio,P,33.35,129.7,9.0,24.95397191692318
778,North Jakarta,Grande Região Norte,L,-4.0,-60.0,5.0,78.51852969413663
779,Los Abriguitos,exact,P,27.90901,-107.91824,9.0,61.3493719382072
780,Straits Gibraltar,exact,H,35.95,-5.6,3.0,50.84546220279703
781,South Western Atlantic,South,L,33.45876,-90.15081,3.0,32.7089856377989
782,Ferney,exact,P,45.33052,-98.09787,3.0,36.610896903820354
783,Jeneberang River,exact,H,-5.19306,119.38139,11.0,36.56915533595877
784,Kadambrayar river,River,P,51.14217,1.2745,3.0,42.763445378333635
785,Patch,exact,P,35.25274,-118.89593,9.0,45.216149406580904
786,Loess Plateau,exact,T,37.0,108.0,9.0,71.06057746548572
787,Anchar lake,exact,H,34.14694,74.78933,15.0,47.40441209052489
788,Gulf,exact,A,-7.7246,145.08545,11.0,52.06974232846808
789,Farol,exact,A,-24.10348,-52.66314,7.0,47.08878471747644
790,Northern Bay Bengal,Northern,L,-20.04022,145.93238,13.0,68.17525853743878
791,Zhuhai,exact,P,22.27694,113.56778,9.0,25.763507230444727
792,Sarasota,exact,P,27.33643,-82.53065,3.0,18.438039460164994
793,Aberdeen,exact,P,46.97537,-123.81572,9.0,58.0767288689968
794,Southeastern Sea Korea,South Easter,U,45.05016,-61.58184,3.0,50.428179497781684
795,Guardamar,exact,P,38.09031,-0.65556,22.0,86.63668028682608
796,Pacific North America,Pacific,L,54.76638,-128.25349,9.0,33.60152331185633
797,Maharashtra,exact,A,19.5,76.0,15.0,52.40845719692679
798,Laranjal beach,Laranjal,A,-24.92573,-52.45952,7.0,47.51527809713205
799,Chicago,exact,P,41.85003,-87.65005,3.0,40.86803469985852
800,Shuikou Reservoir,exact,H,40.3513,-120.56181,9.0,17.34271830296016
801,Armorican Massif,exact,T,48.0,-3.0,3.0,66.79528889654412
802,Nasipit,exact,P,8.96917,125.29472,11.0,56.83881197882815
803,Wider Caribbean Region,Caribbean,L,20.38583,-72.33398,3.0,21.45658334001336
804,Otter Rock,exact,P,44.74706,-124.0615,8.0,44.26093394852222
805,Panjkora,exact,P,34.77313,70.36332,15.0,32.84421295782387
806,Brazilian Amazon,Brasília,P,-15.77972,-47.92972,7.0,55.539755206934444
807,San Rossore,exact,S,43.72484,10.33631,22.0,28.261631899293665
808,Makassar Strait,exact,H,-1.66531,118.06593,11.0,51.630895328234025
809,Central Indo-Pacific,Central,L,55.75383,37.6224,3.0,29.251884154669053
810,Tajao,exact,P,10.3148,123.5835,9.0,22.527268252717956
811,Leeuwin Current,Leeuwin,S,-34.1521,21.84696,19.0,50.116176167651815
812,Ain River,exact,H,28.05529,-80.57616,3.0,50.008735238898716
813,Eastern Ionian Sea,Eastern,A,19.31667,-81.13333,2.0,43.52406827164897
814,Ombrone river,exact,H,42.66003,11.01422,22.0,43.57299467869562
815,Te Whakaraupō-Lyttelton Harbour,Thiais,P,48.76496,2.3961,3.0,30.435494595657694
816,Gulf Cádiz,Gulf Province,A,-7.7246,145.08545,11.0,52.06974232846808
817,Sundarbans,exact,L,22.0,89.0,15.0,75.75582882509153
818,Deep Bay,exact,L,49.66662,-54.29812,3.0,23.56010780228331
819,British Overseas Territories,British,P,18.10786,-77.20674,2.0,53.47681618218635
820,Mersey Estuary Special Protection Area,River Mersey,H,53.45,-3.03333,3.0,31.380724744358723
821,Pujada bay,exact,H,6.89135,126.22733,11.0,52.91905587948108
822,LAC,exact,A,-2.5,28.0,17.0,55.5445465212443
823,South West,exact,L,50.81119,-3.63343,3.0,35.858411542838994
824,Lake Mead National Recreation Area,exact,L,35.95445,-114.22062,9.0,56.47601270104359
825,Tenerife,exact,A,9.93201,-74.73465,5.0,54.48832494061331
826,Tuamotu,exact,T,-38.7,178.05,13.0,44.986720650806944
827,Makham,exact,A,12.73333,102.21667,9.0,40.22869779453695
828,Buldir Island,exact,T,52.35574,175.91688,8.0,32.499841493024704
829,Langat,exact,P,2.85139,101.45417,11.0,39.40299144557876
830,Tagus,exact,P,48.3464,-101.93405,3.0,36.298431375687116
831,North Baltic Seas,Grande Região Norte,L,-4.0,-60.0,5.0,78.51852969413663
832,Laptev Sea,exact,H,76.0,126.0,21.0,57.145860818993675
833,"Hainan Island,",exact,T,19.2,109.7,9.0,39.408914698087145
834,Riau Island Province,Riau,A,0.5005,101.749,11.0,114.53513485295592
835,Lumut,exact,P,4.2323,100.6298,17.0,33.06318114710397
836,Dalipuga,exact,P,8.31583,124.25472,11.0,33.872414940301496
837,Naji,exact,L,31.1276,83.7458,15.0,47.538842485559286
838,Qaqulluit,exact,T,70.13333,-51.8,21.0,42.29156855353426
839,Motagua,exact,P,9.40262,-73.99512,5.0,55.376451167322614
840,NSW,exact,A,-33.0,146.0,19.0,72.47664160972376
841,Muara Angke,exact,P,-6.13353,106.776,11.0,50.901758558963884
842,Aki Nada,exact,H,34.08628,132.73123,9.0,50.67097415606029
843,south-east,exact,L,51.4,-0.5,3.0,70.18226575813087
844,"Nansha Island, South China Sea",Nansha,P,22.75041,113.57144,9.0,28.793584767020512
845,Rameswaram Island,exact,T,9.27407,79.29112,17.0,34.00355926937185
846,Bali Province,exact,A,13.46667,-1.58333,3.0,9.742905960460591
847,Maanshan City,Ma’anshan,P,31.68579,118.51008,9.0,20.680954386596042
848,RJR,exact,P,36.15614,40.57682,15.0,38.84984812387971
849,Majuro lagoon,exact,H,7.146,171.2,10.0,51.42131121321013
850,Badain Jaran Desert,Badaín,P,42.54268,0.19375,22.0,107.15585449089028
851,Madeira island,exact,T,32.65871,-16.92183,2.0,43.28550905231967
852,Progo,exact,P,41.94122,-7.28491,3.0,52.20819990599036
853,Pellestrina Island,Pellestrina,P,45.27716,12.30238,22.0,29.191481901580165
854,Kayangel Island,exact,T,8.08693,134.71959,10.0,51.89874833721161
855,Sunda Kelapa Post,Sunda,T,24.78333,72.41667,15.0,32.61114777862622
856,Meuse,exact,A,48.97176,5.36371,3.0,53.40101279103692
857,South Baikal,exact,P,23.32292,90.31414,15.0,27.33851033380776
858,Yenisei River,exact,H,69.71811,84.73755,21.0,25.940214020835775
859,Kerkennah Islands,exact,T,34.71553,11.1904,22.0,37.11075734235465
860,Liuqinghewan Bathing Beach,Liuqinghe Wan,H,36.11957,120.6103,9.0,43.441091232194175
861,W Atlantic,Ouê‘a,P,11.50306,42.85528,26.0,38.71353479413024
862,Georgia Strait,exact,H,48.83149,-122.94463,9.0,49.24292959130487
863,BASECO,exact,P,38.06077,15.06263,22.0,61.99023874238717
864,Sri Lanka’s,Samarinda,P,-0.49167,117.14583,11.0,118.83427611992711
865,Weser,exact,P,28.86526,-97.36749,3.0,42.62245632113437
866,Spain,exact,A,40.0,-4.0,10.0,42.59007199250243
867,Canary Current,Canary,P,43.9279,-124.03539,8.0,60.483392461045085
868,East Pacific coast,East,A,28.66242,77.29122,15.0,27.23550487507965
869,uMngeni,exact,A,-29.4387,30.09823,19.0,39.487446891056116
870,Gulf Gdansk Baltic Sea,Gulf Province,A,-7.7246,145.08545,11.0,52.06974232846808
871,South Sandwich,South,L,33.45876,-90.15081,3.0,32.7089856377989
872,Woods Hollow Shale,Woods,P,45.21399,-123.95484,9.0,47.690999604128734
873,Skallingen,exact,T,55.50525,8.25815,3.0,15.242235925329465
874,Xialiao Beach,Xialiao,P,23.66485,119.60098,9.0,21.02154878698296
875,Benešov nad Ploučnicí,exact,P,50.74159,14.31239,3.0,29.947076751547137
876,Chengdu Plain,Chengdu,P,30.66667,104.06667,9.0,45.43295092117344
877,Estonia,exact,A,59.0,26.0,24.0,62.44275021766548
878,Zurich,exact,P,47.36667,8.55,3.0,15.29520061683405
879,Kermanshah Province,exact,A,34.41667,46.75,25.0,24.723127736308218
880,East Asian,East,A,28.66242,77.29122,15.0,27.23550487507965
881,Pati,exact,P,-6.7559,111.038,11.0,58.42601875998766
882,East Falkland,exact,T,-51.96067,-59.27251,20.0,53.56650250093018
883,Arctic Seas,exact,H,85.0,0.0,21.0,57.28267750044117
884,Río de la Plata estuary,Rio,P,38.29558,21.78504,22.0,33.67036707969706
885,SES,exact,P,11.2,35.4,26.0,35.09475814963338
886,local Bay,Local,P,38.37367,-90.6229,3.0,17.660946678871788
887,Ergene River,exact,H,48.12295,-0.75399,3.0,69.29257228869187
888,Hashilan Wetland,Hashīlān,P,34.56602,46.88502,25.0,36.024624225087514
889,Rouen,exact,P,49.44313,1.09932,3.0,29.63456352310223
890,Oristano,exact,P,39.9036,8.59257,10.0,13.310302096189183
891,Poyang,exact,P,28.99242,116.66754,9.0,57.13888452878844
892,Bhubaneswar city,Bhubaneswar,P,20.27241,85.83385,15.0,43.02657284179061
893,Gulf Alicante,Gulf Province,A,-7.7246,145.08545,11.0,52.06974232846808
894,Belize,exact,A,17.25,-88.75,3.0,38.426872341627444
895,Lagos Island,exact,T,6.45444,3.39194,5.0,12.969389941427279
896,Tai Pai Tsui,exact,T,22.16667,114.26667,9.0,44.15576294046425
897,Pekalongan,exact,P,-6.8886,109.6753,11.0,47.348979873660134
898,Outer Carpathians,Outer,P,50.84189,3.9987,3.0,51.772243673549546
899,Greater Melbourne Area,Greåker,P,59.26598,11.03497,3.0,37.02253263185989
900,Sembilang National Park,exact,L,-1.95,104.56667,11.0,50.583406667249285
901,Manora channel,exact,H,37.7119,24.09319,22.0,42.88854890407225
902,Batu Baraguang,Batu,P,-7.87,112.52833,11.0,41.26039550543662
903,Koh Losin,exact,T,7.32394,101.89813,11.0,48.06742600915054
904,Tegal,exact,P,-6.8694,109.1402,11.0,57.15005723344851
905,Peene,exact,P,51.09951,1.12086,3.0,51.74881589669242
906,Vassiliko,exact,L,34.725,33.3,22.0,30.9990410746928
907,Țarina,exact,P,-21.53549,-64.72956,7.0,24.07252163817056
908,Greenland,exact,A,72.0,-40.0,21.0,58.12325506965888
909,Pyramiden,exact,T,67.97047,18.49218,21.0,52.314914441854256
910,Saigon River,exact,H,10.74393,106.75913,9.0,39.21392765843719
911,Ottawa River,exact,H,40.99505,-84.24134,3.0,59.202674089146164
912,River Rhine,exact,H,43.33333,4.83333,22.0,32.684872186336946
913,Gulf St. Lawrence,exact,H,49.00003,-58.99849,3.0,66.3310645698095
914,North Baltic Sea,Grande Região Norte,L,-4.0,-60.0,5.0,78.51852969413663
915,Cassiopea,exact,S,41.84143,12.49184,22.0,37.97133317794034
916,Atlantic Bigeye,Atlantic,P,43.5827,-65.34141,3.0,15.746823059337036
917,Karasu River,exact,H,36.27369,139.17252,9.0,38.6340109617422
918,Baram River,exact,H,4.5848,113.97896,11.0,53.92149452958117
919,Tunisia,exact,A,34.0,9.0,22.0,72.13197993110687
920,Rose Bengal,Rose,P,39.39932,16.29446,22.0,20.89953881773873
921,South Atlantic Subtropical Gyre,South,L,33.45876,-90.15081,3.0,32.7089856377989
922,Sofronio Española,exact,A,9.06483,118.01479,10.0,71.94879426016779
923,Svetlogorsk,exact,P,54.93987,20.15479,24.0,53.701304910544536
924,Puger,exact,P,-8.3702,113.4752,11.0,14.688612222302433
925,PRD,exact,S,-20.1185,119.57,19.0,43.0443485176473
926,Quzhou County,exact,A,25.94242,111.02815,9.0,68.2234615915697
927,Nan Lake,exact,H,48.41696,-91.51555,3.0,9.304552364214628
928,Hawaiian Archipelago,exact,T,21.13446,-157.00974,8.0,65.04751574297501
929,Equator,exact,A,-1.25,-78.25,11.0,39.30766808005026
930,Americas,exact,L,26.0173,-104.41406,9.0,54.35365042396918
931,Gloucestershire,exact,L,51.77959,-2.18311,3.0,38.0095411486043
932,Marikina Rivers,exact,H,14.55833,121.0675,9.0,47.00347527253739
933,Sicilian Sea,Sicily,T,37.62304,13.93457,22.0,40.67474145802644
934,Neiva,exact,P,2.9273,-75.28189,11.0,53.33305688006647
935,Valenciana,exact,P,24.16699,-103.19262,3.0,48.38400839478857
936,Central Pacific Ocean,exact,U,5.0,-175.0,10.0,78.46180953138773
937,Trave,exact,H,53.95449,10.8678,24.0,56.03052914360066
938,Kunming,exact,P,25.03889,102.71833,9.0,55.77551987438956
939,Belgian Coast,Belgium,A,50.75,4.5,3.0,27.798731661139367
940,Dumont d'Urville Sea,exact,S,-66.66667,140.0,20.0,18.532858423848918
941,Humen,exact,P,22.81899,113.67306,9.0,39.66700722492976
942,Guajará Bay,exact,H,-1.4131,-48.51353,5.0,9.779182947504625
943,Ouachita Mountains,exact,T,34.50038,-94.5005,3.0,0.06232822502660927
944,Asian Water Tower,Qila Asian,P,31.8148,73.14361,15.0,48.61210063289455
945,Catalan Sea,exact,H,-30.76667,-56.23333,7.0,39.11822562800705
946,Amur Bay,exact,H,43.07492,131.72322,9.0,50.6021896032523
947,Gulf Thailand,Gulf Province,A,-7.7246,145.08545,11.0,52.06974232846808
948,Lake Chaohu,Lake County,A,-44.83333,168.5,13.0,37.06460489843053
949,Jeju Island,exact,A,33.41667,126.5,9.0,9.26587323729116
950,Yangtze estuary,Yangtze River,H,31.76986,121.04664,9.0,52.36974201149076
951,Ansan,exact,L,38.17278,126.03611,9.0,54.41409578384688
952,PRE,exact,P,45.73156,11.70608,22.0,30.329523212210937
953,Batangas,exact,P,13.7567,121.0584,9.0,55.606180432683836
954,St. Brandon's Rock,Sète,P,43.4028,3.69278,22.0,18.946867440890053
955,Talaad Thai,Talakād,P,12.18872,77.02889,15.0,61.780294316622886
956,Pärnu Bay,Pärnu,P,58.38588,24.49711,24.0,12.690679448291313
957,Pearl Hermes Atoll,Pearl,P,39.45977,-90.62596,3.0,11.699565715657737
958,DKI Jakarta,exact,P,-6.21462,106.84513,11.0,49.61534121631195
959,Tugela,exact,P,-29.17949,31.41695,19.0,36.53696419920371
960,Brazilian Northeast,Brasília,P,-15.77972,-47.92972,7.0,55.539755206934444
961,Durusu (Terkos) Lake,Durusu,P,41.30337,28.67635,23.0,26.35130601952589
962,East Asia’s,East,A,28.66242,77.29122,15.0,27.23550487507965
963,Vava'u,exact,A,-18.66667,-174.0,12.0,55.86244520855759
964,Madong Village,exact,A,25.131,121.68829,9.0,45.185596882997736
965,Barranglompo Island,Balanglompo,P,-4.9432,119.3986,11.0,50.54643997039026
966,Borneo,exact,T,1.0,114.0,11.0,78.61720677100699
967,Ternate Island,exact,T,0.80562,127.34044,10.0,79.22296042283725
968,Yangtze Estuary,Yangtze River,H,31.76986,121.04664,9.0,52.36974201149076
969,Miramar,exact,P,25.98731,-80.23227,3.0,60.45845497281414
970,Garbage Island,exact,T,48.78331,-91.01689,3.0,47.45906022431539
971,Turtle Island,exact,A,6.18681,118.12122,11.0,54.45264934368046
972,Tropical Eastern Pacific,Tropical,P,-23.81836,-46.84837,7.0,50.12048295315725
973,karst spring,exact,P,-31.9,150.56667,19.0,44.92296174800023
974,Southern Spain,exact,H,5.71667,5.01667,5.0,58.66229150386875
975,Sandy Island Beach State Park,Sandy,P,40.59161,-111.8841,9.0,34.015781201119275
976,SE Gulf California,Sé,A,22.19389,113.55103,9.0,34.44009262726786
977,Mangrove,exact,P,13.23646,-59.61617,2.0,31.885490202928327
978,Schleswig-Holstein,exact,A,54.2,9.75,3.0,37.08488176684037
979,San Sebastián,exact,P,43.31283,-1.97499,3.0,43.65183752273792
980,Fort Jefferson,exact,P,24.62793,-82.8729,2.0,40.30564055989351
981,Scotia Arc,Scotia,L,47.11678,-81.38306,3.0,43.51468058489986
982,Québec City,exact,P,46.81228,-71.21454,3.0,40.9927841138905
983,Xiamen Bay beach,Xiamen,P,24.47979,118.08187,9.0,42.370699767419744
984,SCS,exact,S,60.43278,-1.29611,2.0,13.444761808951952
985,Camamu,exact,A,-13.94073,-39.12231,7.0,63.76686886455535
986,Alappuzha Mud banks,Alappuzha,P,9.49004,76.3264,17.0,19.071165421184784
987,Manawai,exact,A,21.08528,-156.84722,8.0,58.486405245272884
988,Grand River,exact,P,40.81944,-93.96245,3.0,52.75716651949543
989,Qinglian,exact,P,31.19061,109.23686,9.0,42.520584877539285
990,Micronesia,exact,L,6.53365,163.74023,10.0,26.802221308682604
991,Virginian Province,Virginia,P,-28.10391,26.86593,19.0,56.773803761624066
992,Famara,exact,P,13.85,-13.6,3.0,40.390100910428984
993,Jiayan,exact,L,32.0316,80.7164,15.0,55.91691543697158
994,Atoyac River,exact,H,31.44824,-94.31603,3.0,18.37168762439039
995,Pakleni Islands,exact,T,43.16667,16.38333,22.0,38.24693123301069
996,Tamandaré,exact,A,-8.74874,-35.13941,5.0,48.33753166485927
997,Krka River,exact,H,43.72194,15.85306,22.0,37.64295636576367
998,Tangier,exact,P,35.76727,-5.79975,3.0,40.21289145310703
999,Kendari City,Kendari,P,-3.9778,122.51507,11.0,53.15524314806025
1000,bay,exact,A,3.0,43.5,17.0,55.59746332227936
1001,Molawin Watershed,Molawin,P,14.634,120.3754,9.0,20.04565965546814
1002,Western Ionian Sea,Western,A,19.30833,-81.375,2.0,25.02200550299133
1003,Gulf Sirte,Gulf Province,A,-7.7246,145.08545,11.0,52.06974232846808
1004,Lahore,exact,P,31.558,74.35071,15.0,15.550144506229058
1005,Bosnia Herzegovina,exact,A,44.25,17.83333,22.0,38.40105663255409
1006,Seribu,exact,P,1.10917,104.13762,11.0,59.25748362039924
1007,Durmont D'Urville,exact,S,-66.66667,140.0,20.0,18.532858423848918
1008,New Caledonia,exact,A,-21.5,165.5,12.0,0.0
1009,Ranchi,exact,P,23.34316,85.3094,15.0,26.121861021594412
1010,Ukraine,exact,A,49.0,32.0,3.0,66.39371022771522
1011,Daliao River,exact,H,7.0,125.5,11.0,55.59746332227927
1012,Central California's,Central,L,55.75383,37.6224,3.0,29.251884154669053
1013,Thousand Islands,exact,T,44.33338,-75.99968,3.0,43.79771390039767
1014,Cape Town,exact,P,-33.92584,18.42322,7.0,47.88084544621662
1015,Arkhangelsk Region,Arkhangelsk,P,64.5401,40.5433,3.0,4.916515831929326
1016,Emilia-Romagna Region,Emilia-Romagna,A,44.5444,10.98361,22.0,38.65692418547786
1017,YS,exact,S,16.27288,77.34716,15.0,30.060562822209867
1018,Daughter Sea,Dahmer,P,38.56956,-79.32643,3.0,16.963161137247862
1019,Northern Ionian,Northern,L,-20.04022,145.93238,13.0,68.17525853743878
1020,Neelankarai,exact,P,12.9495,80.2592,15.0,56.39471595225574
1021,Tanka,exact,L,24.65727,67.96294,15.0,49.97208285129208
1022,Ulee Lheue,exact,P,5.5558,95.2843,17.0,24.666328404503815
1023,STF,exact,P,36.19112,5.41373,22.0,35.20425734333333
1024,Ambon Bay,exact,H,-3.73646,128.08174,11.0,53.34550146045528
1025,Lower Cimandiri River,Bulbogan,P,12.89931,121.45722,9.0,44.64308701748592
1026,Madura Strait,exact,H,-7.12778,112.67281,11.0,45.56644548799025
1027,Jaring Halus Village Langkat Regency North Sumatera Province,Yaring,P,6.86617,101.36894,11.0,43.21242805134751
1028,Bornholm,exact,T,55.12551,14.91394,24.0,49.194831593212776
1029,Atropus atropos,Atrapos,P,40.72427,21.40546,22.0,26.18344827517686
1030,Rio Grande Sul State,Rio,P,38.29558,21.78504,22.0,33.67036707969706
1031,Shetland,exact,L,49.51692,-83.58313,3.0,6.290182978249753
1032,Grosseto,exact,P,42.76296,11.10941,22.0,43.312816644550715
1033,Xiamen city,Amoy,P,24.47979,118.08187,9.0,42.370699767419744
1034,Tsomoriri Lake,Tso Morīri,H,32.9128,78.31467,15.0,49.067431691342634
1035,GoT,exact,P,22.59446,75.95106,15.0,47.49775898526437
1036,Firth Forth,Firth,P,43.30519,-112.18303,9.0,33.540585957531185
1037,Uttarakhand,exact,A,30.25,79.25,15.0,36.714410364988574
1038,Chukchi Sea,exact,H,69.45755,-171.78223,21.0,11.971152880944866
1039,Vistula-,exact,P,41.74922,-85.72805,3.0,33.574711431718235
1040,Nile,exact,L,31.5275,84.2038,15.0,28.244379793131877
1041,North Yellow Sea,Grande Região Norte,L,-4.0,-60.0,5.0,78.51852969413663
1042,Lower Laguna Madre,Bulbogan,P,12.89931,121.45722,9.0,44.64308701748592
1043,Biobío river,exact,H,3.97067,9.28813,5.0,57.37360527928231
1044,California Channel Island,California,A,13.4375,-88.46356,9.0,7.989095958058082
1045,North Italy,Grande Região Norte,L,-4.0,-60.0,5.0,78.51852969413663
1046,Gulfs Lion,Lyon,P,45.74846,4.84671,22.0,38.603423759818945
1047,Drina River,exact,H,-5.7,151.4,11.0,24.840251113110718
1048,Northeastern Atlantic Subtropical Gyre,North Eastern Province,A,1.0,40.25,17.0,62.15685599977858
1049,Baltic,exact,L,48.38339,-83.68308,3.0,18.721883102177426
1050,Ma'anshan City,Ma’anshan,P,31.68579,118.51008,9.0,20.680954386596042
1051,Mersin Bays,Mersin,P,36.81196,34.63886,22.0,36.83365086270029
1052,West Iceland,exact,P,-12.15681,96.82251,18.0,51.80418015709738
1053,Skagway,exact,A,59.46852,-135.30596,9.0,11.50149063456721
1054,Great Barrier Reef Marine Park,exact,L,-14.68531,145.4477,13.0,21.36026957382833
1055,Aveiro Lagoon,exact,H,40.63333,-8.73333,3.0,24.662740086368494
1056,Central North America,Central,L,55.75383,37.6224,3.0,29.251884154669053
1057,Göta River,exact,H,-0.60816,127.56596,11.0,99.43884124146436
1058,Modera,exact,P,6.9638,79.8712,16.0,65.87824878901908
1059,Big Island,exact,L,41.96944,-115.39722,9.0,52.89144085644503
1060,Iran,exact,A,32.0,53.0,25.0,72.81451629261255
1061,Western Central Pacific Ocean,Western,A,19.30833,-81.375,2.0,25.02200550299133
1062,Bajo,exact,L,27.98747,66.79465,15.0,61.47286154775876
1063,United States Virgin Islands,exact,A,18.34829,-64.98348,2.0,53.72219151908319
1064,Cienfuegos Bay,Cienfuegos,P,22.14681,-80.4481,3.0,39.634114353413665
1065,Red Hills Lake,exact,H,13.16383,80.17847,15.0,51.06431406466953
1066,Bai Chay,exact,P,20.96667,107.05,9.0,69.87609481440587
1067,Kuala Muda,exact,A,5.71037,100.37928,17.0,26.938060299685198
1068,Gangmen bay,Gangmen,P,19.1484,108.666,9.0,42.80080022111128
1069,Tolo Harbor,exact,H,22.44214,114.21151,9.0,30.333130716259934
1070,PNG,exact,L,27.70165,58.8721,15.0,42.979399669900396
1071,Deep Ocean,Czajcze,P,54.28838,16.14836,24.0,32.740371022435646
1072,California Grunion,California,A,13.4375,-88.46356,9.0,7.989095958058082
1073,Farallon Island,exact,T,37.74251,-123.0591,8.0,47.2762143006639
1074,Hong Kong's,Høng,P,55.50736,11.28873,24.0,13.329999164101169
1075,Indian Himalaya,Indian,L,45.75011,-77.44949,3.0,28.086967682327398
1076,Pan,exact,L,29.90461,67.59974,15.0,46.010368439849294
1077,Tsing Yi,exact,T,22.35,114.1,9.0,44.36890005766906
1078,Yuejin Lake,Yuejin,P,41.9561,120.71033,9.0,53.63549635464477
1079,California Channel Islands,California,A,13.4375,-88.46356,9.0,7.989095958058082
1080,Euphrates river,exact,H,30.57889,47.76572,25.0,26.917470283233815
1081,Gampong Jawa,exact,A,5.57306,95.31833,17.0,21.68572805589091
1082,Wider Caribbean,Caribbean,L,20.38583,-72.33398,3.0,21.45658334001336
1083,Central Mediterranean Sea,Central,L,55.75383,37.6224,3.0,29.251884154669053
1084,Eurasian Basin,exact,U,87.0,80.0,21.0,55.66088822660519
1085,Jambi,exact,P,-1.6,103.61667,11.0,17.082785816094944
1086,Corlu,exact,P,41.15917,27.8,22.0,45.42884415449492
1087,Tanjung Lesung,exact,T,-6.47215,105.66607,11.0,18.607448756508195
1088,Kenjeran,exact,P,-7.2331,112.78426,11.0,43.167530475837985
1089,Lutong Beach,Lutong,P,23.4829,101.914,9.0,42.26210477322784
1090,Miri,exact,P,4.39928,113.99163,11.0,55.64077775754201
1091,Ganges River Basin,Ganges,L,22.85,-82.45,3.0,39.254873552267455
1092,Juan Diaz,exact,P,9.04059,-79.44083,5.0,51.495109054604065
1093,Outer Ambon Bay,Outer,P,50.84189,3.9987,3.0,51.772243673549546
1094,Isola d'Elba,exact,T,42.77663,10.27788,22.0,35.725243635434374
1095,Iraq,exact,A,33.0,44.0,15.0,72.47664160972413
1096,Sinjai,exact,P,-5.1241,120.253,11.0,49.94950800111438
1097,Carnic Alps,exact,T,46.66667,13.0,22.0,42.46904527039972
1098,MP,exact,A,23.5,78.5,15.0,0.0
1099,New Hebrides Trench,exact,U,-20.0,168.0,12.0,76.2353432132595
1100,São Sebastião,exact,A,-9.96698,-36.5528,5.0,52.247236140669905
1101,Buenos Aires Province,Buenos,L,-22.82727,-46.62783,7.0,38.68241172782919
1102,Northeast China,Northeast,L,42.80019,-74.11805,3.0,45.716229797966704
1103,Kingston Harbour,exact,H,17.95489,-76.79954,2.0,59.707625042834565
1104,Straits,exact,P,28.0566,-82.2973,3.0,53.14940339164898
1105,Strait Gibraltar,exact,H,35.95,-5.6,3.0,50.84546220279703
1106,South Africa's,exact,A,-29.0,24.0,19.0,73.7843224078488
1107,Yenisei,exact,H,71.8277,82.6803,21.0,36.98034539449531
1108,Cemara Besar Beach,Cemara,P,-6.015,107.38528,11.0,55.400214393636816
1109,Bering Sea,exact,H,60.0,-175.0,9.0,62.06564062208868
1110,Hong Kong’s,Høng,P,55.50736,11.28873,24.0,13.329999164101169
