,Citation Count,Citation Count (Corrected by Age)
2211,78,3.7142857142857144
2212,3,0.14285714285714285
2213,11,0.5238095238095238
2214,42,2.0
2215,7,0.3333333333333333
2216,13,0.6190476190476191
2217,20,0.9523809523809523
2218,59,2.8095238095238093
2219,3,0.14285714285714285
2220,15,0.7142857142857143
2221,89,4.238095238095238
2222,21,1.0
2223,5,0.23809523809523808
2224,5,0.23809523809523808
2225,0,0.0
2226,51,2.4285714285714284
2227,100,4.761904761904762
2228,10,0.47619047619047616
2229,28,1.2727272727272727
2230,36,1.6363636363636365
2231,5,0.22727272727272727
2232,49,2.227272727272727
2233,59,2.6818181818181817
2234,4,0.18181818181818182
2235,19,0.8636363636363636
2236,7,0.3181818181818182
2237,20,0.9090909090909091
2238,9,0.4090909090909091
2239,32,1.4545454545454546
2240,21,0.9545454545454546
2241,24,1.0909090909090908
2242,58,2.6363636363636362
2243,25,1.1363636363636365
2244,5,0.22727272727272727
2245,221,10.045454545454545
2246,22,1.0
2247,10,0.45454545454545453
2248,72,3.272727272727273
2249,59,2.6818181818181817
2250,20,0.9090909090909091
2251,6,0.2727272727272727
2252,1,0.045454545454545456
2253,12,0.5454545454545454
2254,41,1.8636363636363635
2255,46,2.090909090909091
2256,157,7.136363636363637
2257,15,0.6818181818181818
2258,32,1.4545454545454546
2259,14,0.6363636363636364
2260,55,2.5
2261,61,2.772727272727273
2262,127,5.7727272727272725
2263,80,3.6363636363636362
2264,13,0.5909090909090909
2265,117,5.318181818181818
2266,31,1.4090909090909092
2267,177,8.045454545454545
2268,97,4.409090909090909
2269,39,1.7727272727272727
2270,118,5.363636363636363
2271,29,1.3181818181818181
2272,49,2.227272727272727
2273,42,1.9090909090909092
2274,66,3.0
2275,24,1.0909090909090908
2276,48,2.1818181818181817
2277,52,2.3636363636363638
2278,76,3.4545454545454546
2279,32,1.4545454545454546
2280,102,4.636363636363637
2281,30,1.3636363636363635
2282,64,2.909090909090909
2283,36,1.6363636363636365
2284,30,1.3636363636363635
2285,20,0.9090909090909091
2286,8,0.36363636363636365
2287,97,4.409090909090909
2288,5,0.22727272727272727
2289,112,5.090909090909091
2290,76,3.4545454545454546
2291,16,0.7272727272727273
2292,80,3.6363636363636362
2293,22,1.0
2294,33,1.5
2295,88,4.0
2296,143,6.5
2297,6,0.2727272727272727
2298,49,2.227272727272727
2299,26,1.1818181818181819
2300,103,4.681818181818182
2301,5,0.22727272727272727
2302,0,0.0
2303,0,0.0
2304,20,0.9090909090909091
2305,10,0.45454545454545453
2306,53,2.409090909090909
2307,13,0.5909090909090909
2308,7,0.3181818181818182
2309,7,0.3181818181818182
2310,78,3.5454545454545454
2311,1,0.045454545454545456
2312,2,0.09090909090909091
2313,23,1.0454545454545454
2314,5,0.22727272727272727
2315,3,0.13636363636363635
2316,93,4.2272727272727275
2317,25,1.1363636363636365
2318,5,0.22727272727272727
2319,3,0.13636363636363635
2320,5,0.22727272727272727
2321,4,0.18181818181818182
2322,46,2.090909090909091
2323,13,0.5909090909090909
2324,23,1.0454545454545454
